id,Target_Index,ANVITA,GPT4-5shot,HW-TSC,IOL_Research,Lan-BridgeMT,NLLB_Greedy,NLLB_MBR_BLEU,ONLINE-A,ONLINE-B,ONLINE-G,ONLINE-M,ONLINE-W,ONLINE-Y,refA,synthetic_ref,Yishu,ZengHuiMT
10,1556,Garbage,Trash,Rubbish,Garbage,Trash,Waste,Garbage,litter,Rubbish,rubbish,Rubbish,garbage,garbage,Rubbish,Garbage,Rubbish,Garbage.
11,1069,This was the fourth day of action in the social wave that opposed the proposed reform of the Government & apos; s pension system.,This was the fourth day of action in the social movement against the government's proposed pension reform bill.,This is the fourth day of action in the social unrest against the government's draft reform of the pension system.,This is the fourth day of action in this social movement against the government's proposed reform of the pension system.,This is the fourth day of action in this social trend against the government's pension reform draft.,This is the fourth day of the social movement against the draft pension reform of the government.,This is the fourth day of the social movement against the government's pension reform bill.,This is the fourth day of action against the draft reform of the government's pension system.,This is the fourth day of action in the social unrest against the government's draft reform of the pension system.,This is the fourth day of action against the social trend of the draft reform of the government's pension system.,This is the fourth day of action against the draft reform of the government pension system.,This is the fourth day of action of this social wave against the government's draft pension system reform.,This is the fourth day of action against the current social trend against the government's draft pension system reform.,This is the fourth day of action in the social movement against the government's retirement pension reform draft.,This is the fourth day of action in the social unrest against the government's draft reform of the pension system.,This is the fourth day of action in the social unrest against the government's draft reform of the pension system.,This is the fourth day of action of the social trend against the draft reform of the government pension system.
12,1522,"Although the names are the same, I hope that you will be careful and ask Amazon to change the correct layout in time, thank you very much.","Although the names are the same, we hope everyone will be careful and we also ask the person in charge at Amazon to replace the correct pictures in a timely manner. Thank you very much.","Although the names are the same, I still hope that everyone can pay attention to it. In addition, I also ask the person in charge of Amazon to replace the correct picture in time. Thank you very much.","Although the name is the same, but I still hope you can pay careful attention, in addition to Amazon responsible for the timely replacement of the correct picture, thank you very much.","Although the names are the same, I still hope everyone can be careful. In addition, I would like to ask the person in charge at Amazon to replace the correct illustration as soon as possible. Thank you very much.","Although the names are the same, please be careful and please ask the Amazon manager to replace the correct layout in time.","Although the names are the same, I hope that you will pay attention, and please have the right layout changed by the person in charge of Amazon in time, thank you very much.","Although the names are the same, I still hope that everyone can pay careful attention, and also ask the person in charge of Amazon to replace the correct picture in time, thank you very much.","Although the names are the same, I still hope that everyone can pay attention to it. In addition, I also ask the person in charge of Amazon to replace the correct picture in time. Thank you very much.","Although the names are all the same, I still hope everyone can pay careful attention. In addition, the person in charge of Amazon is requested to replace the correct picture in time. Thank you very much.","Although the name is the same, but I hope that everyone can pay attention to it, and also ask the head of Amazon to replace the correct layout in time, thank you very much.","Even though the names are the same, I hope you can pay careful attention to it, and I also ask the person in charge of Amazon to replace the correct matching image in time, thank you very much.","Although the names are all the same, I hope everyone can pay careful attention. Also, please ask the person in charge of Amazon to change the correct images in a timely manner. Thank you very much.","Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you.","Although the names are the same, I still hope that everyone can pay attention to it. In addition, I also ask the person in charge of Amazon to replace the correct picture in time. Thank you very much.","Although the names are the same, I still hope that everyone can pay attention to it. In addition, I also ask the person in charge of Amazon to replace the correct picture in time. Thank you very much.","Although the names are all the same, I hope everyone can pay attention to them carefully. In addition, I would like to ask the person in charge of Amazon to replace the correct picture in time. Thank you very much."
13,903,"In response to the letter, Xi said that you have overcome the difficulties of your working life in Central Africa and have served the local people with all your heart, and that you are both an angel in white clothes who saves the lives of the wounded and a friendly messenger who conveys friendship.","In his reply, Xi Jinping said that you have overcome difficulties in work and life in Africa, served the local people with heart, and are not only angels in white who save lives and help the injured, but also friendly messengers who convey friendship.","In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","In his reply, Xi Jinping said that in China and Africa, you have overcome difficulties in work and life and served the local people attentively. You are not only angels in white who save lives and help the injured, but also friendly messengers who convey friendship.","Xi Jinping said in his reply that you have overcome difficulties in work and life in Central Africa, served the local people with heart, and are both angels in white who save the dying and heal the injured, and friendly messengers who convey friendship.","In his reply, Xi Jinping said that you are the white-robed angels who rescue the dead and wounded, and the friendly messengers who convey your sympathy, overcoming the difficulties of working life in Central Africa and serving the local people with your heart.","In reply, Xi said, ""You overcome the hardships of working life in Central Africa, serving the local people with care, and are both white-robed angels of life and death and friendly messengers of sympathy"".","Xi Jinping said in his reply that you have overcome difficulties in work and life in China and Africa and served the local people with heart, which is not only a white-clothed angel who saves lives and helps the wounded, but also a friendly messenger who transmits friendship.","In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","In his reply, Xi Jinping said that you have overcome the difficulties of work and life in Central Africa and served the local people with your heart. You are not only angels in white who save lives and injuries, but also friendly messengers who convey friendship.","Xi Jinping said in his letter that you have overcome the difficulties of your working life in Central Africa and served the local people with heart, both as white-clothed angels who save the dead and the wounded, but also as friendly messengers who convey friendship.","In his reply, Xi said that you have overcome difficulties in your work and life in Central Africa and served the local people with all your heart, not only as ambassadors in white clothes who save lives and help the injured, but also as ambassadors of friendship who pass on friendship.","In his reply, Xi Jinping said that you have overcome difficulties in work and life in Central Africa and serve the local people with heart. They are not only angels in white who save the dead and help the wounded, but also friendly messengers conveying friendship.","In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.","In his reply, Xi Jinping said that you have overcome difficulties in work and life in Central Africa and served the local people wholeheartedly. You are not only angels in white who save lives and help the wounded, but also friendly messengers who convey friendship."
14,98,Any product for which this document applies shall meet the requirements of Achieving Level 1.,Any product applicable to this document should meet the requirements of implementation level 1.,Any product to which this document applies shall meet the requirements for Implementation Level 1.,Any product to which this document applies should meet the requirements of Implementation Level 1.,Any product applicable to this file should meet the requirements of Implementation Level 1.,Any product to which this document applies shall meet the requirements of Implementation Level 1.,Any product to which this document applies shall meet the requirements of Implementation Level 1.,Any product to which this document applies shall meet the requirements of implementation level 1.,Any product to which this document applies shall meet the requirements for Implementation Level 1.,Any product applicable to this document shall meet the requirements of implementation level 1.,Any product to which this document applies shall meet the requirements of Level 1 implementation.,Any product to which this document applies shall meet the requirements of Achievement Level 1.,Any product to which this document applies should meet the requirements for implementing Level 1.,Each item to which this record relates must follow to the Execution Level 1 details.,Any product applicable to this document should meet the requirements of implementation level 1.,Any product to which this document applies shall meet the requirements for Implementation Level 1.,Any product to which this document applies shall meet the requirements of implementation level 1 of the realization level.
15,0,This document in accordance with GB / T 1.1 a 202 long standardization of working guidelines Part 1: standardization of the structure of the document and the provisions of the drafting rules benefit.,"This document is drafted in accordance with the provisions of GB/T 1.1 - 202, the first part of the standardization work guide: the structure and drafting rules of standardization documents.",This document is drafted in accordance with the provisions of GB/T 1.1-202 Standardization Work Guidelines Part I: Structure and Drafting Rules of Standardization Documents.,"This document benefits from the provisions of GB/T 1.1-202 Guidelines for Standardization Work, Part I: Structure and Drafting Rules for Standardization Documents.",This document is drafted in accordance with the provisions of the GB/T 1.1-202 Standardization Work Guidelines Part I: Structure and Drafting Rules of Standardization Documents.,This document is prepared in accordance with the provisions of GB/T 1.1 I 202 Working Part I of the Working Guide on Standardization: Structure of Standardization Documents and Rules for Drafting.,This document is prepared in accordance with the provisions of GB/T 1.1-202 Working Guide Part I: Structure and drafting rules for standardization documents.,"This document benefits from the provisions of GB/T 1.1-202 Standardization Work Guidelines, Part I: Structure and drafting rules for standardization documents.","This document is based on the provisions of GB/T 1.1-202 Long-term Standardization Work Guidelines, Part II: Standardization Document Structure and Drafting Rules.",This document is in accordance with the provisions of GB/T 1.1-2021 Standardization Work Guidelines Part 1: The structure of standardization documents and the drafting rules.,This document takes advantage of the provisions of GB/T 1.1 1202 long standardization working guidelines: Structure of standardized documents and drafting rules.,This document is in accordance with the provisions of GB/T 1.1 a 202 久标准化工作导则第工部分:标准化文件的结构和起草规则起惠。,This document begins in accordance with the provisions of Part 1 of the GB/T 1.1 202-long Standardization Work Guidelines: Structure and drafting rules for standardization documents.,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules.",This document is drafted in accordance with the provisions of GB/T 1.1-202 Standardization Work Guidelines Part I: Structure and Drafting Rules of Standardization Documents.,"This document is based on the provisions of GB/T 1.1-202 Long-term Standardization Work Guidelines, Part II: Standardization Document Structure and Drafting Rules.",This document is in accordance with GB/T1; 1 - 2023 Guidelines for Standardization Work Part I: Structure of standardization documents and drafting rules for starting benefit.
16,1839,"If you have to buy it, you can change the shoes, but the original shoes look good, but it is not a pity.","If you must buy, changing the insole can solve the problem, but the original insole looks very high-end, it's a pity not to use it.","If you have to buy it, you can change the insole, but the original insole looks very high-end, so it's a pity not to use it.","If you must buy, change the insole can also solve, but the original insole looks very high-class appearance, do not have a pity.","If you must buy, changing the insole can solve the problem, but the original insole looks very high-end, it's a pity not to use it.","If you have to buy a new pair of shoes, it's a good solution, but the original pair of shoes look very high-end, no need and a pity.","If you have to buy them, you could also change the socks, but the original looks very high quality.","If you must buy it, changing the insole can also solve it, but the original insole looks very high-class, and it is a pity that it is not necessary.","If you have to buy it, you can change the insole, but the original insole looks very high-end, so it’s a pity not to use it.","If you must buy it, changing to an insole can also solve it, but the original insole looks very advanced, so it's a pity not to need it.","If you must buy, a new shoe pad can also be solved, but the original shoe pad looks very high-end, it is not a pity.","If you must buy them, a new insole would solve the problem, but the original insoles look so premium that it's a shame not to use them.","If you have to buy it, changing the insole will solve it, but the original insole looks very classy, so it's a pity not to use it.","You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it.","You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it.","If you have to buy it, you can change the insole, but the original insole looks very high-end, so it’s a pity not to use it.","If you have to buy it, changing the insole can also solve the problem, but the original insole looks very advanced, and it's a pity not to use it."
17,660,"From February 10, Henan Province single conventional dental implant medical service price of the whole process control target of 4,300 yuan, single conventional dental implant whole process cost is not higher than 97% of the control target.","Starting from February 10, the full-process price control target for conventional dental implant medical services in Henan Province is 4300 yuan, and the full-process cost of a single conventional implant should not exceed 97% of the control target.","From February 10, the whole-process regulatory target for the price of a single conventional dental implant medical service in Henan Province is 4,300 yuan, and the cost of the whole process of a single conventional dental implant is not higher than 97% of the regulatory target.","From February 10, the price of a single conventional dental implant in Henan Province is 4,300 yuan, and the cost of a single conventional dental implant is not higher than 97% of the regulatory target.","Starting from February 10, the full-process price control target for a single conventional dental implant medical service in Henan Province is 4300 yuan, and the full-process cost of a single conventional implant is not higher than 97% of the price control target.","As of February 10, the price of a single conventional dental implantation in Henan Province is set at 4,300 yuan, and the cost of a single conventional implantation is not higher than 97% of the target.","Since February 10, the price of a single conventional implantation in Henan Province is subject to a full-process regulation target of 4300 RMB, and the cost of a single conventional implantation is not above 97% of the regulatory target.","From February 10, the price of a single conventional dental implant in Henan Province is 4,300 yuan, and the cost of the whole process of a single conventional implant is not higher than 97% of the control target.","From February 10th, the whole-process regulatory target for the price of a single conventional dental implant medical service in Henan Province is 4,300 yuan, and the cost of the entire process of a single conventional dental implant is not higher than 97% of the regulatory target.","Starting from February 10, the price of a single conventional implant dental treatment service in Henan Province will be regulated at 4,300 yuan for the whole process, and the cost of a single conventional implant for the whole process will not be higher than 97% of the regulatory target.","From February 10, Henan Province's single conventional dental implantation medical service price control target is 4,300 yuan, single conventional implantation full process cost is not higher than 97% of the regulatory target.","From February 10, the whole process of regulating the price of medical services in Henan Province for a single conventional dental implant is targeted at 4,300 yuan, and the cost of a single conventional implant for the whole process is not higher than 97% of the regulation target.","Starting February 10, the price of a single conventional dental implant medical service in Henan Province is 4,300 yuan, and the cost of the whole process of a single routine dental implant is not higher than 97% of the regulation target.","As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective.","From February 10, the whole process of regulating the price of medical services in Henan Province for a single conventional dental implant is targeted at 4,300 yuan, and the cost of a single conventional implant for the whole process is not higher than 97% of the regulation target.","From February 10th, the whole-process regulatory target for the price of a single conventional dental implant medical service in Henan Province is 4,300 yuan, and the cost of the whole process of a single conventional dental implant is not higher than 97% of the regulatory target.","From February 10th, the whole process regulation and control target of the price of a single conventional dental implant medical service in Henan Province is 4300 yuan, and the whole process cost of a single conventional dental implant is not higher than 97% of the regulation target."
18,1562,"And I've been saying to the customer service, who is responsible for such a problem, the customer service does not say that it is their responsibility, they do not dare to take even half of the responsibility, what is the guarantee of such after-sales service?","I kept asking the customer service who was responsible for this issue, but they didn't admit it was their fault, not even a word of responsibility. What kind of guarantee does such after-sales service provide? In one word: admit defeat! But I guess Amazon won't even give me the chance to publish this review, they'll just delete it!","And I have been telling the customer service that who is responsible for such a problem, but the customer service does not say a word is their responsibility, and dare not even take responsibility for a half sentence. What kind of guarantee is there for such after-sales service? Planted! But I guess my evaluation, Amazon will not give a chance to publish it, so I will delete it directly!","And I have been telling the customer service, who is responsible for such a problem, but the customer service does not say half of their responsibility, even half of the responsibility do not dare to assume, such after-sales service and what guarantee? In a word: recognition! But I estimate that I this evaluation, Amazon will not give the opportunity to publish, directly back to delete!","And I keep telling customer service, whose responsibility is it for such a problem to occur, but the customer service doesn't say a word about their responsibility, they don't even dare to take half of the responsibility, what kind of guarantee does such after-sales service have? In one word: Accept defeat! But I guess my review won't be given a chance to be published by Amazon, it will be deleted directly!","I've been telling customers who is responsible for this problem, but they don't say half the words that it's their responsibility, they don't even dare to say half the words that it's their responsibility, what is the guarantee of this after-sales service?","And I keep telling my customers about who is responsible for such problems, they don't even say half of their responsibility, not even half of their responsibility, what is the guarantee for this after-sales service? One word: yes!","And I have always told customer service, whose responsibility is it for such a problem, but the customer service does not say that it is their responsibility, and even dare not bear half a responsibility, what is the guarantee for such after-sales service? In a word: recognize the plant! But I estimate that my evaluation, Amazon will not give the opportunity to publish, directly delete it!","And I have been telling the customer service that who is responsible for such problems, but the customer service does not say a word about their responsibility, and dare not even take responsibility for a word. What kind of guarantee is there for such after-sales service? Planted! But I guess my evaluation, Amazon will not give a chance to publish it, so I will delete it directly!","And I have been telling the customer service that who is responsible for such a problem, but the customer service does not say that it is their responsibility, and they dare not even take half of the responsibility. What is the guarantee for such after-sales service? In one sentence: admit it!But I estimate that Amazon will not give me the opportunity to publish my evaluation, so I will delete it directly!","And I have always said to customer service, the emergence of such a problem is whose responsibility, customer service but half a sentence does not say it is their responsibility, even half a sentence of responsibility do not dare to assume, such after-sales service is what guarantee? In a word: Confess!But I estimate my evaluation, Amazon will not give the opportunity to publish, directly back to delete!","And I have been talking to customer service, such a problem is whose responsibility, customer service but half a sentence does not say that their responsibility, even half a sentence of responsibility are not afraid to take responsibility, such after-sales service and what guarantee? In a word: admit it! But I guess I have this evaluation, Amazon will not give the opportunity to publish, directly back to delete!","And I've always said to customer service, who is responsible for this kind of problem, but the customer service doesn't say it's their responsibility; they don't even dare to take on half a sentence of responsibility. What guarantees are there for this kind of after-sales service? In a word: I don't know how to plant it! But I don't think Amazon will give me a chance to publish my review and just delete it!","I have been asking the customer support who is accountable for the issue, but they have refused to acknowledge any responsibility and will not even accept it for a single word, what kind of warranty is offered for this type of post-purchase support? Planted! However, I anticipate that Amazon won't allow me a chance to publish my evaluation, so I'll just erase it","I kept asking the customer service who was responsible for this issue, but they didn't admit it was their fault, not even a word of responsibility. What kind of guarantee does such after-sales service provide? In one word: admit defeat! But I guess Amazon won't even give me the chance to publish this review, they'll just delete it!","And I have been telling the customer service that who is responsible for such a problem, but the customer service does not say a word is their responsibility, and dare not even take responsibility for a half sentence. What kind of guarantee is there for such after-sales service? Planted! But I guess my evaluation, Amazon will not give a chance to publish it, so I will delete it directly!","And I have been telling the customer service that who is responsible for such a problem, but the customer service does not say a word that it is their responsibility, and they dare not even take responsibility for half a sentence. What guarantee is there for such after-sales service? Bottom line: admit defeat. But I estimate that Amazon will not give me the opportunity to publish this review, directly back to delete."
19,8,Please note that some parts of this document may involve patents.Â The publisher of this document is not responsible for identifying patents.,Please note that some contents of this document may involve patents. The issuing agency of this document does not assume the responsibility of identifying patents.,Please note that some contents of this document may refer to patents. The issuing agency of this document assumes no responsibility for identifying patents.,Please note that some of the content of this document may refer to patents. The publisher of this document does not assume responsibility for identifying patents.,Please note that some content in this document may involve patents. The publishing organization of this document does not assume the responsibility of identifying patents.,Please note that some of the contents of this document may involve patents. The publisher of this document is not responsible for identifying patents.,Please note that some of the contents of this document may involve patents. The issuer of this document is not responsible for identifying patents.,Please note that some elements of this document may be patentable. The issuing authority of this document does not assume responsibility for identifying patents.,Please note that some contents of this document may refer to patents. The issuing agency of this document assumes no responsibility for identifying patents.,Please note that some content of this document may involve patents. The issuing agency of this document does not assume the responsibility of identifying patents.,Please note that some parts of this document may involve patents. The issuing body of this document assumes no responsibility for identifying patents.,Please note that some of the contents of this document may be covered by patents. The issuing organization of this document assumes no responsibility for identifying patents.,Please be aware that some elements in this document may involve patents. The authority that issued this document is not responsible for identifying patents.,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.,Please note that some contents of this document may refer to patents. The issuing agency of this document assumes no responsibility for identifying patents.,Note that some of the contents of this document may involve patents. The issuing agency of this document assumes no responsibility for identifying patents.
